#WL |a|^2+|d|^2_ln00 |b|^2+|c|^2_ln00 |a|^2+|d|^2_ln01 |b|^2+|c|^2_ln01 |a|^2+|d|^2_ln02 |b|^2+|c|^2_ln02 |a|^2+|d|^2_ln10 |b|^2+|c|^2_ln10 |a|^2+|d|^2_ln11 |b|^2+|c|^2_ln11 |a|^2+|d|^2_ln12 |b|^2+|c|^2_ln12 |a|^2+|d|^2_ln20 |b|^2+|c|^2_ln20 |a|^2+|d|^2_ln21 |b|^2+|c|^2_ln21 |a|^2+|d|^2_ln22 |b|^2+|c|^2_ln22 |a|^2+|d|^2_ln30 |b|^2+|c|^2_ln30 |a|^2+|d|^2_ln31 |b|^2+|c|^2_ln31 |a|^2+|d|^2_ln32 |b|^2+|c|^2_ln32 
# |a|+|d|400.000000 0.317299 0.388654 0.027069 0.242066 0.003778 0.009534 1.387456 2.920166 1.554898 15.272500 2.124936 4.960141 1.323252 0.626370 0.102308 0.319801 0.012231 0.011560 1.468645 1.151240 1.008374 1.001136 1.000014 1.000006
426.000000 1.574974 2.332655 0.642828 0.105340 0.004159 0.071283 1.638822 10.790093 6.001740 2.451750 0.238795 8.234330 1.152516 3.359769 0.506960 0.129718 0.003034 0.082420 1.307307 1.043232 1.002050 1.001055 1.000008 1.000038
426.500000 1.633739 2.261922 0.698362 0.105341 0.004116 0.076234 1.658908 10.386367 6.332779 2.415136 0.227990 8.608579 1.159868 3.252533 0.536639 0.129595 0.002930 0.088088 1.303371 1.038933 1.002038 1.001069 1.000008 1.000040
427.000000 1.694735 2.189810 0.759061 0.105385 0.004076 0.081539 1.679540 9.982411 6.686916 2.380406 0.217884 9.002937 1.167500 3.143720 0.568440 0.129527 0.002831 0.094158 1.299441 1.035141 1.002039 1.001083 1.000008 1.000042
427.500000 1.758013 2.118582 0.825387 0.105475 0.004039 0.087220 1.700825 9.588733 7.066256 2.347700 0.208468 9.419123 1.175519 3.036611 0.602551 0.129518 0.002739 0.100655 1.295543 1.031828 1.002054 1.001097 1.000008 1.000045
428.000000 1.823723 2.049554 0.897966 0.105614 0.004006 0.093309 1.722863 9.211043 7.473610 2.317010 0.199703 9.859129 1.184009 2.933089 0.639226 0.129571 0.002653 0.107616 1.291691 1.028947 1.002083 1.001111 1.000008 1.000047
428.500000 1.892119 1.982977 0.977652 0.105801 0.003976 0.099844 1.745741 8.849960 7.912739 2.288208 0.191521 10.324838 1.193009 2.833473 0.678808 0.129685 0.002572 0.115083 1.287877 1.026450 1.002128 1.001125 1.000008 1.000050
429.000000 1.963562 1.918954 1.065520 0.106038 0.003948 0.106867 1.769569 8.505379 8.388211 2.261143 0.183857 10.818125 1.202570 2.737877 0.721717 0.129861 0.002495 0.123105 1.284092 1.024290 1.002191 1.001138 1.000007 1.000053
429.500000 2.038391 1.857200 1.162800 0.106324 0.003924 0.114415 1.794442 8.175550 8.905185 2.235691 0.176648 11.339965 1.212717 2.645845 0.768422 0.130099 0.002423 0.131722 1.280322 1.022429 1.002273 1.001152 1.000007 1.000056
430.000000 2.117021 1.797535 1.270934 0.106662 0.003902 0.122516 1.820468 7.859232 9.469342 2.211736 0.169843 11.890160 1.223491 2.557088 0.819448 0.130400 0.002354 0.140966 1.276552 1.020837 1.002380 1.001165 1.000007 1.000059
430.500000 2.199893 1.739807 1.391583 0.107053 0.003882 0.131184 1.847769 7.555379 10.087067 2.189199 0.163399 12.467211 1.234937 2.471359 0.875385 0.130766 0.002288 0.150852 1.272770 1.019485 1.002514 1.001179 1.000007 1.000062
431.000000 2.287623 1.683788 1.526738 0.107501 0.003865 0.140410 1.876486 7.262560 10.765309 2.167949 0.157274 13.066590 1.247107 2.388306 0.936886 0.131202 0.002225 0.161368 1.268962 1.018353 1.002681 1.001193 1.000007 1.000066
