#       x [cm]         y [cm]         z [cm]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]  
#------------------------------------------------------------------------------------------------------------------------------------------
            0       0.388971        4.66765      -0.626217   -2.11758e-05   -0.000218152      -0.509807   -0.000120728   -0.000437561
            0      -0.388971        4.66765      -0.626217    2.11758e-05   -0.000218152      -0.509807    0.000120728   -0.000437561
            0       -1.16691        4.66765      -0.345237    -0.00010725   -0.000159509       -0.37889   -0.000357779    -0.00020371
            0       -1.94485        4.66765      0.0479704   -7.18309e-05   -0.000160608      -0.371702    9.31378e-05    0.000472944
            0       -2.72279        4.66765       0.300646    1.93423e-05   -5.99816e-05      -0.598795    3.40392e-06   -1.60811e-05
            0       -3.50073        4.66765       0.285259   -9.00874e-05     -4.868e-05      -0.898155     7.1132e-05   -0.000190043
            0       -4.27868        4.66765       0.112503   -2.04706e-05   -0.000104255       -1.02704    0.000152785   -0.000291755
            0       -5.05662        4.66765    0.000837384    7.44703e-06    2.03757e-05      -0.963698    1.80958e-05    5.98927e-05
            0       -5.83456        4.66765      0.0359613   -9.65991e-05    7.42473e-06      -0.897496     0.00106073    8.71542e-05
            0        -6.6125        4.66765       0.106424   -1.10028e-05    5.08173e-05      -0.942654    3.44062e-05   -0.000119339
            0         6.6125        3.88971        1.02518   -0.000455976   -0.000132916       -0.15179   -1.02343e-05    6.21773e-06
            0        5.83456        3.88971       0.920667    0.000254954    0.000267835      -0.114665   -0.000269638   -0.000263229
            0        5.05662        3.88971       0.855079    0.000436797   -5.11749e-08      -0.191174   -7.77118e-05    1.07245e-06
            0        4.27868        3.88971       0.919078   -3.28987e-05    0.000141244      -0.238125   -8.17214e-05   -0.000217797
            0        3.50073        3.88971         0.9852    -0.00021622    0.000191335      -0.106211   -0.000120595   -6.36011e-05
            0        2.72279        3.88971       0.858119   -0.000124802    0.000112909       0.113843    4.18249e-05   -3.49413e-05
            0        1.94485        3.88971       0.546533   -0.000113088    3.72026e-06       0.119201   -6.79726e-05    5.19353e-05
            0        1.16691        3.88971       0.236303   -3.69164e-05   -0.000107056      -0.261803      5.125e-05    5.23249e-05
            0       0.388971        3.88971      0.0867195     0.00021132    1.76818e-05      -0.756711   -4.87476e-05    1.37193e-05
            0      -0.388971        3.88971      0.0867195    -0.00021132    1.76818e-05      -0.756711    4.87476e-05    1.37193e-05
            0       -1.16691        3.88971       0.236303    3.69164e-05   -0.000107056      -0.261803     -5.125e-05    5.23249e-05
            0       -1.94485        3.88971       0.546533    0.000113088    3.72026e-06       0.119201    6.79726e-05    5.19353e-05
            0       -2.72279        3.88971       0.858119    0.000124802    0.000112909       0.113843   -4.18249e-05   -3.49413e-05
            0       -3.50073        3.88971         0.9852     0.00021622    0.000191335      -0.106211    0.000120595   -6.36011e-05
            0       -4.27868        3.88971       0.919078    3.28987e-05    0.000141244      -0.238125    8.17214e-05   -0.000217797
            0       -5.05662        3.88971       0.855079   -0.000436797   -5.11749e-08      -0.191174    7.77118e-05    1.07245e-06
            0       -5.83456        3.88971       0.920667   -0.000254954    0.000267835      -0.114665    0.000269638   -0.000263229
            0        -6.6125        3.88971        1.02518    0.000455976   -0.000132916       -0.15179    1.02343e-05    6.21773e-06
            0         6.6125        3.11176       0.515255    0.000317705    0.000265052       0.956705    0.000697343   -5.18672e-05
            0        5.83456        3.11176       0.385606    3.37208e-06   -7.19104e-05       0.962777    2.76732e-06    8.52997e-05
            0        5.05662        3.11176       0.306392    4.47668e-05   -4.25556e-05       0.837491    0.000227751   -0.000127952
            0        4.27868        3.11176       0.359603    1.08116e-05    7.58216e-06       0.720489    1.91287e-05    1.66957e-05
            0        3.50073        3.11176       0.413928   -0.000168845    7.48972e-05       0.766008   -0.000129448     6.4107e-05
